geometry
"POLYGON ((-164052.7433602784 -16288.61735661452, -161053.6528266641 -16288.61735661452, -161053.6528266641 -19297.08442929216, -164052.7433602784 -19297.08442929216, -164052.7433602784 -16288.61735661452))"
"POLYGON ((-161053.6528266641 -16288.61735661452, -158054.5622930497 -16288.61735661452, -158054.5622930497 -19297.08442929216, -161053.6528266641 -19297.08442929216, -161053.6528266641 -16288.61735661452))"
"POLYGON ((-158054.5622930497 -16288.61735661452, -155055.4717594353 -16288.61735661452, -155055.4717594353 -19297.08442929216, -158054.5622930497 -19297.08442929216, -158054.5622930497 -16288.61735661452))"
"POLYGON ((-155055.4717594353 -16288.61735661452, -152056.381225821 -16288.61735661452, -152056.381225821 -19297.08442929216, -155055.4717594353 -19297.08442929216, -155055.4717594353 -16288.61735661452))"
"POLYGON ((-152056.381225821 -16288.61735661452, -149057.2906922066 -16288.61735661452, -149057.2906922066 -19297.08442929216, -152056.381225821 -19297.08442929216, -152056.381225821 -16288.61735661452))"
"POLYGON ((-149057.2906922066 -16288.61735661452, -146058.2001585922 -16288.61735661452, -146058.2001585922 -19297.08442929216, -149057.2906922066 -19297.08442929216, -149057.2906922066 -16288.61735661452))"
"POLYGON ((-146058.2001585922 -16288.61735661452, -143059.1096249778 -16288.61735661452, -143059.1096249778 -19297.08442929216, -146058.2001585922 -19297.08442929216, -146058.2001585922 -16288.61735661452))"
"POLYGON ((-143059.1096249778 -16288.61735661452, -140060.0190913635 -16288.61735661452, -140060.0190913635 -19297.08442929216, -143059.1096249778 -19297.08442929216, -143059.1096249778 -16288.61735661452))"
"POLYGON ((-140060.0190913635 -16288.61735661452, -137060.9285577491 -16288.61735661452, -137060.9285577491 -19297.08442929216, -140060.0190913635 -19297.08442929216, -140060.0190913635 -16288.61735661452))"
"POLYGON ((-59084.57468377554 -16288.61735661452, -56085.48415016115 -16288.61735661452, -56085.48415016115 -19297.08442929216, -59084.57468377554 -19297.08442929216, -59084.57468377554 -16288.61735661452))"
